fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
652,0,34535,USED,9.16,104.68,46,46,0,56,94,71,59,33,1,,59,25,148,1,,,12,2,71,0,29,72,7,1,0,400,1,0,0,0,,,,0,0,Male,White
670,0,46666,NEW,5.33,108.2,,,0,99,99,67,,100,4,54,,50,4,1,,,,1,67,,69,4,5,1,0,30,400,,,,,,,,0,Male,Hispanic
675,1,25325,USED,0.77,105.52,92,22,0,31,92,94,1,50,10,,14,50,42,1,,46,26,5,94,0,21,42,16,1,0,400,1,1,1,0,,,,0,0,Female,White
744,1,17240,USED,13.52,79.17,8,,0,,8,100,57,0,4,,51,0,68,1,,8,37,1,100,0,34,68,6,1,0,1,1,0,0,,,,,0,0,Male,White
756,1,30070,USED,10.19,105.14,52,52,0,,52,83,46,,5,,60,0,,1,,25,,0,83,0,34,,5,,0,400,1,0,0,,,,,0,0,Male,Black
793,1,12697,USED,3.42,139.53,100,3,0,,100,100,28,33,18,,65,9,151,1,,31,10,0,100,2,52,,23,,0,1,1,,,,,,,,0,Male,White
599,0,29559,USED,7.3,105.61,47,0,1,,94,45,34,0,6,28,45,0,176,1,,20,140,0,54,0,70,,9,,0,400,400,,,,,,,,0,Female,White
741,0,37570,USED,6.15,126.39,0,0,0,98,98,100,12,100,1,,12,100,3,1,,,,1,100,0,8,3,2,1,0,1,1,3,6,,,,,3,1,Male,White
685,0,11011,USED,6.9,77.84,42,37,0,,99,100,21,,5,47,45,43,,30,,25,,0,100,0,27,,6,,0,30,1,0,0,,,,,0,0,Male,White
591,0,14994,USED,4.29,93.71,,,0,,139,33,7,100,1,,6,0,104,1,,,,0,33,0,41,,1,,0,120,1,1,2,0,,,,0,0,Male,White
639,0,20488,USED,10.96,115.26,86,65,0,,99,69,2,22,5,6,34,30,101,400,,63,2,3,69,1,22,101,20,1,0,400,30,2,8,,,,,8,1,Female,White
623,1,9405,USED,3.56,92.35,33,22,65,,35,56,18,40,7,14,51,14,214,1,,0,13,2,44,0,50,148,12,1,0,400,1,1,1,0,,,,0,0,Male,Other
725,1,44343,USED,13.56,97.5,83,35,0,,99,100,18,,6,,26,29,,1,,22,,0,100,0,19,,7,,0,1,1,,,,,,,,0,Female,Hispanic
815,1,35050,NEW,6.08,47.65,0,0,,,0,100,18,0,5,,145,0,126,1,,,,3,100,2,74,126,10,1,0,1,1,,,,,,,,0,Male,White
653,1,45956,NEW,8.07,111.53,0,,0,,16,50,141,13,1,21,141,0,108,1,39,0,58,1,38,0,38,95,7,60,0,120,400,,,,,,,,1,Male,White
746,1,28701,NEW,11.52,117.25,,,0,90,95,100,,33,,,,0,108,1,,,,3,100,,74,108,5,1,0,1,1,,,,,,,,0,Male,Hispanic
634,0,25643,USED,9.41,106.73,85,71,0,,94,75,20,25,8,12,39,8,126,30,,57,11,2,59,0,28,126,13,1,0,90,400,1,1,1395,,,0,0,0,Undefined,White
636,1,43553,NEW,12.16,109.13,101,101,0,,101,71,145,8,4,46,132,25,153,60,65,0,15,2,33,1,65,83,11,30,0,400,400,0,0,,,,,0,0,Female,Black
786,1,11535,USED,5.79,146.01,28,28,0,92,97,100,85,25,5,,44,20,120,1,,15,120,2,100,1,32,91,10,1,0,1,1,,,,,,,,0,Female,White
723,1,28668,USED,13.16,124.78,72,72,0,,100,100,34,80,2,,34,14,57,1,,,,0,100,0,30,,3,,0,1,1,,,,,,,,0,Undefined,Black
616,0,19568,USED,7.37,119.5,,,0,98,112,82,,100,,,,11,57,1,,,,1,82,,35,5,1,1,0,1,1,,,,,,,,0,Male,Hispanic
588,0,18840,USED,5.93,110.34,95,81,39,,95,67,17,0,3,9,41,0,135,90,40,,,3,57,0,40,131,4,30,0,400,60,1,1,0,,,,0,0,Male,Asian
549,0,21957,USED,8.72,96.51,59,27,0,,100,80,15,0,5,1,46,33,106,30,,58,,1,73,0,36,66,9,1,1,120,120,,,,,,,,0,Male,White
616,1,21468,NEW,8.92,106.2,11,5,86,,11,75,4,0,4,12,19,67,63,60,12,,,1,50,0,20,63,4,30,0,400,30,,,,,,,,0,Male,White
693,1,23368,USED,13.92,103.26,46,41,0,,96,100,13,100,4,,13,60,6,1,,16,6,0,100,0,9,,5,,0,1,1,,,,,,,,0,Female,Other
732,1,13453,USED,11.13,104.44,79,79,0,,79,100,104,33,2,33,86,0,91,30,38,,,3,100,0,46,91,5,30,0,30,1,,,,,,,,0,Female,White
846,1,23000,USED,8.48,95.91,4,1,0,,4,100,53,0,17,,100,17,123,1,,0,,8,100,3,50,123,26,1,0,1,1,,,,,,,,0,Female,Black
622,0,40366,USED,9.4,129.48,59,59,8,83,83,57,2,20,3,,14,0,110,1,,,63,3,63,0,17,59,7,1,0,400,1,1,1,,,,,1,0,Male,Hispanic
716,0,22667,USED,7.06,100.97,,,0,,100,100,4,100,1,,3,100,3,1,,,2,0,100,0,4,,5,,0,1,1,9,11,,,,,5,1,Male,White
780,1,22089,NEW,5.74,80.91,16,,0,,81,100,38,0,8,,114,0,112,1,,,,1,100,1,78,112,12,1,0,1,1,,,,,,,,0,Female,White
781,1,12187,USED,2.07,128.62,74,5,0,87,96,100,22,33,34,,131,20,171,1,,25,21,8,100,2,57,90,58,1,0,1,1,0,0,,,,,0,0,Male,White
531,0,12966,USED,4.47,104.14,,,7,75,75,11,14,17,0,,7,0,104,400,,,104,3,11,0,16,90,2,400,0,400,400,0,0,432,,,0,0,0,Female,Other
669,1,22110,NEW,5.87,73.52,96,63,0,,98,100,9,10,31,,78,17,147,1,,8,19,5,100,4,59,127,44,1,0,1,1,,,,,,,,0,Female,Black
746,1,49518,NEW,5.86,117.89,39,4,0,85,153,95,15,48,19,52,51,12,189,1,52,20,47,9,96,1,52,140,35,30,0,400,1,0,0,,,,,0,0,Female,White
589,1,32042,USED,12.55,105.92,108,104,1,,108,58,16,3,2,65,54,33,212,1,,86,12,1,58,1,102,124,7,400,0,400,400,0,0,125,,,,0,,Male,White
584,1,17950,USED,7.97,129.14,94,89,2,86,94,85,9,33,9,45,17,20,170,400,45,47,23,4,86,0,37,154,13,30,0,400,1,0,0,,,,,0,0,Female,White
582,1,14959,USED,4.76,99.07,98,,0,31,204,44,,67,1,1,,20,166,1,,28,166,2,44,,84,108,3,1,0,400,400,,,,,,,,0,Male,Black
681,0,19845,USED,18.55,101.21,,,0,73,73,100,,100,,,,0,24,1,,,,1,100,,17,24,1,1,0,1,1,,,,,,,,1,Male,Other
708,1,22362,USED,7.65,102.81,15,,0,,15,100,,,1,,13,0,,1,,,,0,100,,13,,1,,0,1,1,6,7,,,,,2,0,Female,White
811,1,6499,USED,4.21,101.95,15,4,0,,46,100,3,11,18,72,98,8,135,30,72,1,28,3,100,4,81,132,29,30,0,30,1,,,,,,,,0,Male,Black
779,1,23117,NEW,5.31,51.74,83,0,0,,83,100,66,0,8,,72,33,75,1,,35,,2,100,1,35,69,11,1,0,1,1,,,,,,,,0,Female,White
516,0,16501,USED,8.82,129.96,,,8,,202,45,51,80,3,,44,0,174,400,,,30,2,52,0,93,82,3,400,0,400,400,6,13,,,,,4,1,Male,Hispanic
563,0,22679,USED,10.7,113.11,88,0,5,89,89,50,0,25,7,23,0,67,71,1,32,88,,4,50,0,30,71,10,400,0,400,400,1,1,,,,,0,0,Female,White
717,1,16335,USED,12.45,109.08,,,,,,100,64,0,1,32,47,,82,1,,,,0,100,,40,,1,,0,30,1,,,,,,,,0,Male,White
701,0,15317,USED,13.12,130.08,0,,0,,99,100,,0,2,,,100,40,1,,0,,1,100,,9,40,5,1,0,1,1,,,,,,,,0,Male,White
840,1,16478,NEW,3.68,36.73,0,0,0,34,100,100,28,50,4,,110,25,159,1,,,9,3,100,1,60,126,12,1,0,1,1,,,,,,,,0,Male,White
857,1,42498,USED,7.86,97.76,12,9,0,,98,100,22,0,3,,67,25,37,1,,0,37,0,100,2,100,,7,,0,1,1,,,,,,,,0,Male,White
863,1,16306,USED,3.83,67.96,4,1,0,,68,100,8,,23,,91,14,,1,,0,,0,100,8,96,,26,,0,1,1,,,,,,,,0,Female,Other
625,0,35842,USED,11.05,116.28,77,44,0,94,94,83,16,100,3,,20,40,11,1,,0,6,1,83,0,14,11,5,1,0,400,1,3,4,,,,,1,0,Female,Hispanic
787,1,15572,USED,2.43,82.17,72,28,0,60,87,100,38,50,10,,117,0,119,1,,2,,2,100,4,90,119,14,1,0,1,1,,,,,,,,0,Female,White
716,1,45091,USED,14.48,98.18,16,,0,,93,67,49,25,19,8,67,14,155,30,,0,100,0,54,2,37,,23,,1,30,400,,,,,,,,0,Male,Black
821,1,36149,NEW,4.49,61.92,43,40,0,49,49,100,3,25,12,,131,20,218,1,,0,,3,100,2,106,126,16,1,0,1,1,,,,,,,,0,Male,Black
814,1,30740,NEW,15.08,89.07,0,0,,,0,100,38,0,6,,96,0,205,1,,,24,3,100,2,81,171,10,1,0,1,1,,,,,,,,0,Male,White
620,0,15430,USED,5.06,115.36,91,80,0,84,104,83,2,50,5,14,17,44,214,1,,61,,5,85,0,47,49,10,1,0,400,120,4,8,0,,,,2,0,Male,White
619,0,14392,USED,6.83,116.7,39,39,0,,39,0,28,0,0,10,28,0,104,400,52,27,,2,0,0,50,104,0,400,0,400,30,2,2,0,,,,0,0,Female,White
663,1,43007,USED,15.53,108.81,94,94,0,81,94,60,83,17,5,14,39,0,158,400,,,71,2,50,0,46,158,11,1,0,400,1,,,,,,,,0,Male,White
503,0,18493,USED,10.05,108.81,108,99,2,43,108,57,3,16,1,0,47,17,52,120,,,6,2,77,1,12,52,19,1,1,120,120,1,1,,,,,1,1,Male,White
829,1,44809,USED,6.58,88.46,18,7,0,27,27,100,5,50,11,,52,29,51,1,,0,,2,100,3,44,51,13,1,0,1,1,,,,,,,,0,Female,Hispanic
630,1,30894,NEW,7.69,107.71,99,95,0,,99,100,8,0,9,37,56,18,158,400,,82,88,2,71,0,53,158,12,1,0,400,1,0,0,,,,,0,0,Female,White
737,0,32694,NEW,15.51,106.95,55,33,0,,55,100,10,,5,,30,20,,1,,0,,0,100,0,31,,5,,0,1,1,,,,,,,,0,Female,White
573,0,21924,USED,7.85,78.12,98,98,0,,98,33,18,,1,,18,0,22,1,,,,0,33,0,17,,1,,0,1,1,,,,,,,,0,Male,Black
755,1,64290,NEW,5.48,100,69,27,0,,98,89,6,0,27,43,54,13,154,1,,0,43,1,93,4,40,109,33,1,0,400,1,,,,,,,,0,Female,White
623,0,24695,USED,4.83,103.85,61,,0,,61,38,185,0,3,4,40,33,214,400,,14,214,3,38,,71,109,5,400,1,400,400,0,1,,,,,0,0,Female,White
802,1,47000,NEW,7.03,91.64,34,13,0,80,80,100,13,50,7,,67,20,62,1,,,,2,100,4,44,62,9,1,0,1,1,,,,,,,,0,Male,Black
786,1,30032,USED,11.76,124.72,13,13,0,99,99,100,39,20,6,,78,17,44,1,,2,,5,100,2,44,44,11,1,0,1,1,,,,,,,,0,Female,Black
553,0,33866,NEW,9.82,102.08,101,100,67,54,147,30,63,8,14,,164,25,203,400,,,2,5,35,0,49,136,35,400,0,400,1,43,88,12968,0,,0,33,0,Male,White
699,0,26014,NEW,12.41,118.69,0,0,,,0,100,0,0,1,,0,100,15,1,,,,1,100,0,5,15,2,1,0,1,1,,,,,,,,1,Female,Hispanic
693,1,26322,USED,5.97,101.24,105,1,0,85,105,97,1,31,35,28,42,41,165,400,53,8,6,8,95,2,30,113,49,30,0,400,1,3,3,0,,,,1,0,Female,White
645,0,44732,NEW,8,138.33,100,89,0,97,100,100,1,16,7,50,24,50,90,30,59,0,1,16,100,1,15,86,31,30,0,400,1,1,1,0,,,0,0,0,Female,White
666,0,36519,USED,13.07,143.07,95,,0,75,98,83,,100,2,4,,40,49,1,,95,46,2,83,,21,49,5,1,0,30,30,0,0,,,,,0,0,Male,White
716,1,35943,USED,10.43,101.26,67,58,0,,81,67,5,,6,,41,25,,1,,,,0,67,0,75,,7,,0,120,400,1,1,,,,,0,0,Male,White
645,1,35767,NEW,10.79,122.71,92,90,13,62,92,36,40,20,6,40,108,0,190,400,,22,27,3,33,1,94,190,11,1,0,400,1,0,0,4844,,,,0,0,Female,White
724,1,44461,NEW,13.07,112.42,58,39,0,,76,93,59,50,14,,105,8,44,1,,15,11,0,94,3,150,,18,,0,400,1,,,,,,,,0,Male,White
832,1,22913,USED,10.34,85.18,36,1,0,,36,100,62,0,4,,62,0,155,1,,17,,2,100,0,39,155,6,1,0,1,1,0,0,,,,,0,0,Female,White
676,1,37885,USED,15.55,114.89,47,27,0,38,170,68,11,75,3,,15,17,129,1,,,3,2,68,0,63,76,7,1,0,400,400,0,0,,,,,0,0,Female,White
778,1,26062,USED,5.91,81.54,78,15,0,83,83,100,4,10,9,,79,25,164,1,,7,47,2,100,2,63,58,17,1,0,1,1,,,,,,,,0,Male,White
856,1,48911,USED,12.52,107.73,10,2,0,48,98,100,42,22,17,,152,33,139,1,,0,,8,100,4,83,139,29,1,0,1,1,,,,,,,,0,Male,Other
697,0,75289,NEW,9.95,110.19,75,44,0,63,100,92,8,50,12,15,13,50,188,1,,0,1,1,85,0,21,36,16,1,0,120,400,0,0,,,,,0,0,Male,Hispanic
833,0,13447,USED,5.56,124.8,23,18,0,46,96,100,30,36,26,,68,0,156,1,,2,26,4,100,2,72,132,42,1,0,1,1,,,,,,,,0,Female,White
762,1,47409,NEW,3.61,90.4,50,35,0,44,50,100,43,25,5,,96,0,94,1,,,,4,100,3,49,94,11,1,0,1,1,,,,,,,,0,Male,White
741,1,7741,USED,9.23,120.95,7,0,0,,7,100,2,,6,,22,75,,1,,,,0,100,1,22,,6,,0,1,1,,,,,,,,0,Male,White
827,1,35935,USED,8.17,97.38,11,11,0,,11,100,18,0,13,,94,0,178,1,,0,,0,100,2,103,,13,,0,1,1,,,,,,,,0,Female,Hispanic
797,1,38003,NEW,12.84,138.25,22,3,0,92,92,100,51,67,4,21,73,25,257,1,,,7,2,89,1,64,39,9,1,0,30,1,1,3,,,,,0,0,Undefined,Hispanic
871,1,34595,NEW,13.45,101.6,23,8,0,44,44,100,6,17,15,,149,13,120,1,,3,,6,100,4,124,120,27,1,0,1,1,,,,,,,,0,Female,White
599,0,28758,NEW,9.88,93.04,0,0,100,,0,50,4,0,1,,12,100,95,1,,,83,1,67,0,29,95,2,1,0,400,1,1,2,0,,,,2,0,Female,White
676,1,28607,USED,18.92,124.76,100,,0,71,114,100,,78,3,54,,0,128,1,,100,,3,25,,69,105,6,1,0,120,1,,,,,,,,0,Male,White
703,0,41798,USED,14.59,123.66,12,,0,93,95,100,107,100,3,,95,100,7,1,,3,2,1,100,,23,7,5,1,0,1,1,,,,,,,,0,Male,Hispanic
869,1,46293,USED,11.8,110.23,3,1,0,21,21,100,69,33,12,,227,0,137,1,,0,,3,100,4,136,137,15,1,0,1,1,,,,,,,,0,Male,Hispanic
747,1,49577,USED,14.78,107.24,99,99,0,67,99,100,86,50,3,,86,0,55,1,,6,,2,100,0,47,55,5,1,0,1,1,,,,,,,,0,Male,Black
691,1,26394,USED,8.9,101.61,65,4,0,,100,93,0,25,12,,24,36,104,1,,7,2,1,93,1,20,104,16,1,0,400,1,11,17,0,,,0,9,0,Male,Black
662,0,31125,NEW,14.53,110.53,87,44,0,94,102,73,2,8,8,64,27,57,139,400,,45,36,6,44,0,21,139,20,1,0,400,1,1,1,,,,,0,0,Male,White
775,1,30502,NEW,5.48,59.47,25,10,0,,25,100,6,,8,,43,29,,1,,,,0,100,5,43,,8,,0,1,1,,,,,,,,0,Female,White
760,0,29386,NEW,16.14,92.14,34,34,0,,34,100,20,,1,,20,0,,1,,,,0,100,0,20,,1,,0,1,1,,,,,,,,0,Male,Asian
618,1,10746,USED,10.76,138.66,56,56,0,96,96,88,33,33,5,16,37,50,117,30,16,0,117,2,63,0,16,26,8,30,0,30,1,,,,,,,,1,Male,White
633,1,41401,USED,6.4,106.18,,,0,26,97,82,194,17,5,1,170,17,197,1,67,,11,17,82,0,56,178,26,60,0,120,120,,,,,,,,0,Female,White
857,1,44791,NEW,10.26,104.65,21,6,0,,66,100,15,0,12,,114,0,254,1,,3,98,0,100,5,86,,17,,0,1,1,,,,,,,,0,Female,White
721,1,12628,USED,6.28,134.83,72,48,0,,72,100,4,0,21,,44,20,97,1,,0,,5,100,1,41,97,26,1,0,1,1,,,,,,,,0,Male,White
718,1,32560,USED,8.11,113.65,80,43,0,43,99,92,7,18,8,,31,25,129,1,,43,14,10,93,0,18,128,30,1,0,400,1,0,0,,,,,0,0,Female,Hispanic
617,1,24615,NEW,14.99,106.92,62,62,0,,82,100,2,14,1,,2,100,101,400,,,1,4,100,0,12,101,8,1,0,400,1,0,0,,,,,0,0,Male,Hispanic
861,1,12740,NEW,9.34,32.25,7,1,0,,8,100,49,17,6,,93,0,120,1,,,,6,100,3,59,120,12,1,0,1,1,,,,,,,,0,Female,White
756,1,24428,USED,14.26,91.5,10,10,0,,10,100,10,,3,,35,100,,1,,,,0,100,0,35,,3,,0,1,1,,,,,,,,0,Male,White
684,1,44194,NEW,10.99,102.78,57,50,0,47,125,80,18,92,2,,21,7,81,1,,,,2,80,0,43,30,5,1,0,400,400,0,0,,,,,0,0,Male,White
653,0,28501,USED,7.24,112.21,,,0,86,86,100,,50,,,,0,45,1,,,,2,100,,24,45,2,1,0,1,1,1,1,,,,,0,0,Male,White
827,1,70169,NEW,7.35,85.6,2,1,0,,99,100,59,0,11,,72,33,138,1,,,,3,100,2,55,138,17,1,0,1,1,0,0,,,,,0,0,Female,White
586,0,24710,NEW,7.86,96.67,49,,33,45,49,40,,17,2,1,16,0,119,400,1,,,6,40,,30,119,6,400,0,400,30,56,120,2181,1,1,,15,0,Undefined,White
542,0,19557,NEW,9.27,88.26,,,0,,76,25,,100,,,,100,6,1,,,6,0,25,,6,,1,,0,400,400,1,1,,,,,0,0,Male,Black
760,1,44521,NEW,3.55,86.8,2,2,0,,96,80,22,0,3,14,180,0,94,120,,,,3,83,2,67,94,10,1,0,120,120,,,,,,,,0,Female,White
564,0,14417,USED,2.06,79,64,64,84,,64,17,6,,2,,71,50,,400,,,,0,17,0,71,,2,,0,400,400,1,1,,,,,0,0,Male,White
762,1,23440,USED,8.99,152.7,12,0,0,80,97,100,58,100,4,18,58,0,34,1,,6,,1,86,0,34,25,5,1,0,30,1,2,6,,,,,0,1,Male,Hispanic
771,1,36384,USED,14.88,124.28,4,4,0,96,96,100,6,50,2,,6,100,18,1,,0,,2,100,0,8,18,4,1,0,1,1,0,0,,,,,0,0,Female,White
629,1,34093,NEW,11.05,145.89,30,20,4,,30,78,5,50,6,1,91,14,41,1,1,15,41,1,78,4,69,40,8,30,0,400,30,0,0,,,,,0,0,Female,White
665,1,35676,USED,12.89,105.09,49,49,0,85,85,67,37,100,1,,37,50,12,1,,,,1,67,0,25,12,2,1,0,1,400,1,1,,,,,0,0,Female,White
666,1,35422,NEW,8.13,129.2,100,64,0,75,116,95,31,29,16,28,65,6,184,30,28,74,57,2,95,0,50,90,27,30,0,30,1,,,,,,,,0,Male,White
827,1,69660,NEW,5,100,39,6,0,,39,100,25,0,14,,71,0,117,1,,1,,4,100,5,61,117,18,1,0,1,1,,,,,,,,0,Male,Hispanic
806,1,39369,USED,4.38,98.43,3,1,0,,100,100,15,20,19,,92,25,172,1,,0,70,5,100,6,68,128,31,1,0,1,1,,,,,,,,0,Male,White
616,0,31839,USED,12.43,122.22,0,,15,29,71,43,63,67,1,,15,33,96,400,,,18,1,50,0,14,57,4,1,0,400,1,,,,,,,,0,Female,White
666,1,19074,USED,8.51,95.37,92,92,0,78,102,60,31,100,1,12,31,0,44,30,,,,1,60,0,24,21,2,1,0,30,30,,,,,,,,1,Male,Hispanic
768,1,53911,NEW,11.81,98.58,95,35,0,,95,100,4,13,17,62,33,17,115,30,,26,8,2,100,1,48,115,26,1,0,120,1,13,20,,,,,11,0,Female,Hispanic
656,1,42958,USED,8.37,103.36,101,98,0,93,101,100,17,13,9,,66,20,224,1,,4,26,6,100,2,31,69,31,1,0,1,1,1,1,6904,0,,0,1,0,Male,White
,0,13924,NEW,110.75,62.16,,,0,96,96,100,,100,,,,100,3,1,,,,1,100,,3,3,1,1,0,1,1,,,,,,,,0,Undefined,White
828,1,14553,USED,13.44,118.8,9,1,0,,90,100,30,,11,,42,0,,1,,8,,0,100,1,44,,12,,0,1,1,,,,,,,,0,Male,Hispanic
721,1,32711,USED,5.02,99.51,93,33,0,38,95,100,26,50,14,,126,0,179,1,,27,17,5,100,4,88,179,26,1,0,1,1,0,0,,,,,0,0,Female,White
759,1,25655,USED,3.27,108.02,44,44,0,46,103,79,104,33,4,,73,10,173,1,,,25,5,81,1,77,96,14,1,0,1,400,,,,,,,,0,Male,Hispanic
687,1,45331,USED,9.22,100.65,31,24,0,,87,94,41,86,18,15,72,0,70,30,,31,,0,86,0,55,,19,,0,400,1,0,0,,,,,0,0,Female,White
727,1,58620,NEW,12.89,125.17,22,22,0,,74,67,515,,1,15,515,0,,1,,,,0,67,1,251,,2,,0,60,60,,,,,,,,0,Male,Hispanic
856,1,29924,NEW,0.8,44.56,2,2,0,5,86,100,54,13,5,,85,67,190,1,,,84,5,100,1,37,190,22,1,0,1,1,,,,,,,,0,Male,Black
569,1,25645,USED,8.75,110.18,90,80,0,,90,57,20,50,5,6,43,0,42,1,,80,26,0,63,0,44,,7,,0,60,60,0,0,0,,,,0,0,Female,White
696,0,21845,USED,10.42,136.11,,,0,77,77,100,,100,,,,0,26,1,,,,1,100,,26,26,1,1,0,1,1,,,,,,,,0,Male,White
751,1,47735,USED,7.75,108.35,58,31,0,75,97,100,38,30,9,,65,14,120,1,,,34,8,100,2,34,120,21,1,0,1,1,,,,,,,,0,Male,White
817,1,26582,USED,7.03,107.91,44,0,0,,99,100,14,20,6,,117,14,135,1,,,107,4,100,3,68,135,17,1,0,1,1,,,,,,,,0,Male,White
682,1,54508,NEW,9.94,121.16,87,27,0,,100,100,7,17,20,27,69,29,127,1,46,45,19,4,100,4,53,127,26,30,0,30,1,0,0,,,,,0,0,Undefined,Black
757,1,38981,USED,9.54,91.72,54,3,0,68,90,100,5,50,3,73,13,40,133,1,73,0,89,3,100,1,24,133,6,30,0,30,1,,,,,,,,0,Undefined,Hispanic
788,1,48596,NEW,1.48,92.06,86,19,0,,100,100,47,0,18,,179,6,149,1,,,,2,100,13,139,149,24,1,0,1,1,,,,,,,,0,Female,White
689,1,21601,USED,8.92,93.92,32,32,0,51,106,50,5,67,4,,26,33,106,1,,,,2,50,0,39,95,6,1,0,400,1,,,,,,,,0,Male,White
729,1,39199,NEW,8.61,103.17,54,,0,,100,100,16,11,9,57,87,17,143,1,55,9,4,12,100,2,53,143,27,400,0,400,1,,,,,,,,0,Undefined,White
688,0,12583,USED,6,98.38,,,,,,100,5,0,2,,4,,20,1,,,20,0,100,0,6,,3,,0,1,1,3,5,,,,,0,0,Female,White
756,1,39434,NEW,10.38,110.28,52,19,0,,100,100,2,17,49,69,84,16,152,1,69,20,16,2,100,7,70,102,57,30,0,30,1,0,0,,,,,0,0,Male,Hispanic
726,1,26208,USED,12.67,103.18,10,10,18,15,15,50,5,50,1,,5,50,114,1,,,,2,50,0,99,114,3,1,0,400,400,,,,,,,,1,Female,White
848,1,24501,NEW,3.8,64.26,0,0,0,18,99,100,16,33,3,,73,33,84,1,,,84,2,100,1,49,75,8,1,0,1,1,,,,,,,,0,Male,White
763,1,57753,NEW,15.74,123.14,54,11,0,,54,100,12,8,25,30,39,10,174,1,30,9,83,11,100,3,41,174,34,30,0,400,1,,,,,,,,0,Female,White
622,1,7792,USED,2.55,116.3,61,22,0,86,86,47,21,33,5,59,45,43,141,1,59,48,20,4,50,0,35,133,10,60,0,400,400,0,0,0,,,,0,0,Female,White
538,0,64312,NEW,6.14,111.21,,,20,,96,33,87,43,3,1,75,0,182,30,2,,,5,30,0,77,134,7,30,0,400,400,,,,,,,,0,Male,Asian
859,1,31414,NEW,5.72,65.09,14,14,0,,78,100,104,0,4,,188,0,106,1,,0,,4,100,2,94,106,10,1,0,1,1,,,,,,,,0,Male,Other
747,1,37429,NEW,8.6,67.43,84,80,0,67,93,100,87,20,4,,89,0,114,1,,,98,3,100,1,46,114,10,1,0,1,1,,,,,,,,0,Male,White
874,1,47015,NEW,0.97,82.48,11,4,0,54,77,100,17,13,12,,85,11,178,1,,0,,4,100,5,67,149,18,1,0,1,1,,,,,,,,0,Male,Black
776,1,48336,USED,4.57,100.28,56,19,0,81,98,100,23,40,11,,57,8,51,1,,20,26,5,100,1,37,51,19,1,0,1,1,0,0,,,,,0,0,Female,Hispanic
722,1,35591,USED,12.26,89.08,34,14,0,67,115,93,17,90,6,,45,7,106,1,,,,2,93,3,58,56,9,1,0,1,400,,,,,,,,0,Female,White
822,1,31835,NEW,1.27,68.78,81,64,0,80,99,100,16,50,14,,106,20,155,1,,2,5,7,100,1,60,155,27,1,0,1,1,,,,,,,,0,Female,White
634,1,23831,USED,10.56,108.08,0,0,46,70,95,57,36,40,0,20,33,0,94,120,,,7,3,43,0,27,94,4,400,0,400,1,,,,,,,,0,Male,White
604,0,24759,NEW,5.91,114.86,108,108,0,97,108,67,4,50,1,18,3,50,117,90,,,117,1,67,0,13,13,3,1,0,90,90,0,0,,,,,0,1,Male,Asian
690,0,42135,USED,2.19,109.76,100,98,0,52,100,100,85,25,9,,170,0,124,1,,73,93,6,100,4,71,124,19,1,0,1,1,,,,,,,,0,Female,Black
773,1,36788,USED,13.68,83.18,70,,0,,99,100,72,0,4,,215,25,170,1,,70,,3,100,1,113,170,10,1,0,1,1,,,,,,,,0,Male,Black
677,1,15816,USED,2.14,67.32,98,95,0,41,98,90,44,33,7,12,91,0,185,60,37,86,18,3,93,1,62,185,14,30,0,60,30,0,0,0,,,,0,0,Male,White
846,1,13476,USED,3.98,122.79,34,2,0,,34,100,0,0,11,,77,40,130,1,,0,,1,100,4,81,130,13,1,0,1,1,,,,,,,,0,Male,White
603,0,28479,USED,9.93,94.95,49,15,3,65,89,67,19,60,6,42,32,0,75,400,,0,19,2,65,0,26,75,10,400,0,400,1,7,11,,,,,3,0,Female,Hispanic
572,1,31508,USED,10.6,101.97,5,1,35,83,102,62,4,88,3,10,48,33,48,1,,,,1,64,0,31,19,4,1,0,400,400,0,0,,,,,0,0,Male,Hispanic
824,1,12171,USED,4.41,125.8,11,7,0,73,91,100,90,25,4,,114,20,137,1,,,26,7,100,1,58,137,14,1,0,1,1,,,,,,,,0,Female,Hispanic
728,1,19112,USED,11.1,106.27,0,,0,,102,100,,100,2,,,33,57,1,,0,,0,100,,29,,2,,0,1,1,,,,,,,,0,Undefined,Black
690,0,18908,USED,8.6,68.82,14,,0,69,119,96,37,84,4,4,92,0,184,1,4,12,,2,88,1,94,65,6,30,0,400,30,,,,,,,,0,Undefined,White
773,1,16407,NEW,8.49,72.15,58,58,0,23,97,100,39,10,10,,44,17,142,1,,18,107,7,100,1,38,120,22,1,0,1,1,,,,,,,,0,Male,White
